state	alpha	year	region	south	east	midwest	west	senate_d	senate_r	senate_other	house_d	house_r	house_other	gov	gov_dem	gov_repub	gov_other	senate_d_pct	senate_r_pct	senate_other_pct	house_d_pct	house_r_pct	house_other_pct	house_dem	house_rep	senate_dem	senate_rep	senate_margin	house_margin	leg_margin	voteD	voteR	voteDshare	competitiveness	Statewide_Margin	Squire_Professionalism	Squire_Salary	areasqmiles	popdensitypersonspersquaremile	totalpopulation	white	nonwhite	black	othernonwhite	whitealoneorincombination	blackaloneorincombination	asianaloneorincombination	nativeamericanorincombination	hawaiianorpacificislanderaloneor	someotherracealone	urban	rural	nativeborn	foreignborn	male	white_pct	black_pct	othernonwhite_pct	nonwhite_pct	urban_pct	rural_pct	nativeborn_pct	foreignborn_pct	male_pct	fiscalyear	income_total_wallis	income_percapita_wallis	total_spending	_education	_social_service_welfare	_transportation	_public_safety	_environmental_housing	_governmentadministration	_public_service_enterprises	_not_elsewhere_classified	_interest_on_general_debt	_capital_outlay	_3560_health_sewer_sanitation	_legislative	_insurance_trust	_sinking_funds	_higher_ed_capital_outlay	_higher_ed_other	_schools_capital_outlay	_schools_other	_higher_education	_schools	_lower_education	_health_sewer_sanitation	illiteracy	per_capita_income	CPI_per_capita_income	hs_completion	at_birth_life_expectancy	age_5_life_expectancy	age_18_life_expectancy	top10_adj	top5_adj	top1_adj	top05_adj	top01_adj	top001_adj	atkin05	gini	rmeandev	theil	high_school	college	cpi	dollars_factor_2016	Education_percent	SocialService_percent	Transportation_percent	EnvironmentHousing_percent	Governmental_percent	Enterprises_percent	NotElsewhere_percent	Interest_percent	CapitalOutlay_Percent	Education_pc	SocialService_pc	Transportation_pc	PublicSafety_pc	EnvironmentHousing_pc	Governmental_pc	Enterprises_pc	NotElsewhere_pc	Interest_pc	CapitalOutlay_pc	HealthSewerSanitation_pc	Legislative_pc	InsuranceTrust_pc	SinkingFunds_pc	HigherEdCapital_pc	HigherEdOther_pc	SchoolsCapital_pc	SchoolsOther_pc	HigherEducation_pc	Schools_pc	LowerEducation_pc	Health3540_pc	TotalSpending_pc	state_numeric	not_a_state	year_1880	year_1890	year_1900	year_1910	year_1920	year_1930	year_1940	year_1950	year_1960	year_1970	year_1980	year_1990	year_2000	year_2010	year_1840	year_1850	year_1860	year_1870	per_capita_income_delta20	at_birth_life_expectancy_delta60	infantmortality	TotalSpending_pc_delta20	Education_pc_delta20	SocialService_pc_delta20	leg_margin_delta20	leg_d_pct	TotalSpending_pc_next20	total_spending_pc_current	CPI_per_capita_income_next20	CPI_per_capita_income_next10	infantmortality_next20	infantmortality_next10	illiteracy_next20	illiteracy_next10	hs_completion_next20	hs_completion_next10	at_birth_life_expectancy_next20	at_birth_life_expectancy_next10	leg_party_competition	Statewide_Competition	st1	st2	st3	st4	st5	st6	st7	st8	st10	st11	st12	st13	st14	st15	st16	st17	st18	st19	st20	st21	st22	st23	st24	st25	st26	st27	st28	st29	st30	st31	st32	st33	st34	st35	st36	st37	st38	st39	st40	st41	st42	st43	st44	st46	st47	st48	st49	st50	st51	st52	CPI_per_capita_income_next30	illiteracy_next30	at_birth_life_expectancy_next30	infantmortality_next30	leg_r_pct	presidential_winner	presidential_runnerup	house_majority	house_minority	house_majority_pct	house_minority_pct	presidential_competitiveness	house_competitiveness	national_competitiveness	southXhouse_dem	southXsenate_dem	southXgov_dem	NonSouthAfter1932	NonSouthAfter1932Xhouse_dem	NonSouthAfter1932Xsenate_dem	NonSouthAfter1932Xgov_dem	unified_dem	southXunified_dem	NonSouthAfter1932Xunified_dem	illiteracy_forward20	illiteracy_forward10	illiteracy_forward20_toward0	illiteracy_forward10_toward0	infantmortality_forward20	infantmortality_forward10	infant_forward20_toward0	infant_forward10_toward0	CPI_per_capita_income_F10	CPI_per_capita_income_F20	at_birth_life_expectancy_F10	at_birth_life_expectancy_F20	at_birth_life_expectancy_F30	illiteracy_proportional_10	illiteracy_proportional_20	illiteracy_proportional_30	goldin_graduation	gamm_grad_uncorrected	gamm_graduation_corrected	gamm_goldin_graduation	graduation_combined
"Alabama"	"AL"	1840.0	"S"	1.0	0.0	0.0	0.0	20	13	0	54	46	0	"D"	1.0	0.0	0.0	60.60606	39.39394	0.0	54.0	46.0	0.0	1.0	0.0	1.0	0.0	21.21212	8.0	14.60606								51279	12	590756	335185	255571	255571								12672	578084			305082	56.738316	43.261684		43.261684	2.1450481	97.85495			51.64264																																														8.67	27.62																																	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0								57.303032													85.393936		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					42.696968	52.9	46.8	142	98	59.166668	40.833332	93.899994	81.666664	87.783325	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0																					
"Alabama"	"AL"	1850.0	"S"	1.0	0.0	0.0	0.0	16	17	0	57	43	0	"D"	1.0	0.0	0.0	48.484848	51.515152	0.0	57.0	43.0	0.0	1.0	0.0	0.0	1.0	3.030304	14.0	8.515152								51279	15	771623	426514	345109	345109								35179	736444	764114	7509	392343	55.27492	44.72508		44.72508	4.5590916	95.44091	99.026855	0.97314364	50.846462																																														7.83	30.59																																	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0								52.742424													91.48485		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					47.257576	47.3	42.5	127	85	59.90566	40.09434	95.2	80.18868	87.694336	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																					
"Alabama"	"AL"	1860.0	"S"	1.0	0.0	0.0	0.0	27	0	6	85	0	15	"D"	1.0	0.0	0.0	81.818184	0.0	18.181818	85.0	0.0	15.0	1.0	0.0	1.0	0.0	81.818184	85.0	83.40909								51279	19	964201	526271	437930	437770	160							48901	915300	951849	12352	489291	54.581047	45.40236	0.01659405	45.418953	5.0716605	94.92834	98.71894	1.2810607	50.745747																																														8.33	28.75																																	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0							68.803024	83.40909													16.590912		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0.0	39.8	29.5	106	42	71.62162	28.378378	89.7	56.75676	73.22838	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0																					
"Alabama"	"AL"	1870.0	"S"	1.0	0.0	0.0	0.0	1	32	0	65	35	0	"D"	1.0	0.0	0.0	3.030303	96.969696	0.0	65.0	35.0	0.0	1.0	0.0	0.0	1.0	93.93939	30.0	61.969696	45399.58349609375	44341.41650390625	0.5089661	-0.008966118	1.7932177			51279	19	996992	521384	475608	475510	98							62700	934292	987030	9962	488738	52.295704	47.694466	0.009829568	47.704296	6.288917	93.71108	99.00079	0.9992056	49.021255	1872.0			885591.0	468574.0	76096.0		100197.0		235565.0	5160.0					98683																														13.08	18.31	52.91088	8.59268	11.314139		26.59975	0.58266175				8.605475	1.3975215		1.8401421		4.326208	0.09476465					1.8123372											16.264093	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0							53.454544	34.015152	5.4409084	0.88826287											38.030304	98.20678	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					65.98485	52.7	47.3	136	104	56.666668	43.333332	94.6	86.666664	90.63333	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																					
"Alabama"	"AL"	1880.0	"S"	1.0	0.0	0.0	0.0	33	0	0	94	1	5	"D"	1.0	0.0	0.0	100.0	0.0	0.0	94.0	1.0	5.0	1.0	0.0	1.0	0.0	100.0	93.0	96.5	11265.6669921875	5687.66650390625	0.6645104	-0.16451043	32.902084			51279	25	1262505	662185	600320	600103	217							68518	1193987	1252771	9734	622629	52.45009	47.532722	0.01718805	47.54991	5.427147	94.57285	99.229	0.7710068	49.31695	1882.0			346394.0	79999.0	89529.0	12338.0	62967.0		101561.0													24000.0				50.9	82	1916.34																	10.25	23.37	23.094799	25.846003	18.177855		29.319504					1.480847	1.657255	0.22838648	1.1655707		1.8799772													0.44425964				6.4120364	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0							13.090912	97.0	135.8528	0.2743704	559.68005	483.32996			-15.800003	-9.900002					3.5	67.097916	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1839.9501	-26.7			0.5	48.3	48.3	152	130	53.90071	46.09929	100.0	92.19858	96.09929	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	-15.800003	-9.900002	-31.041262	-19.449903					483.32996	559.68005				1.2414634	1.4501425	2.1033058					
"Alabama"	"AL"	1890.0	"S"	1.0	0.0	0.0	0.0	33	0	0	97	3	0	"D"	1.0	0.0	0.0	100.0	0.0	0.0	97.0	3.0	0.0	1.0	0.0	1.0	0.0	100.0	94.0	97.0	75090.375	22937.642822265625	0.7570614	-0.25706142	51.412285			51279	30	1513401	833718	679683	678489	1194							152235	1361166	1498624	14777	757456	55.089035	44.83207	0.07889515	44.910965	10.059132	89.940865	99.02359	0.9764101	50.04992	1892.0			1245672.0	679885.0	52842.0	18981.0	202480.0	35260.0	256224.0													46193.0				41.0	91	2399.67																	9.083333	26.37	54.579777	4.242048	16.25468	2.8306007	20.56914					11.846541	0.92073655	0.33073124	3.5280786	0.6143819	4.464532													0.80488217				21.705002	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			105.24	5.4409084	3.241066	-0.47678494	35.030304	98.5	181.17006	0.8230945	1356.6201	76.3501		-16.829994	-16.8	-5.9000015					3.0	48.587715	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1350.0701	-23.2			1.5	48.6	47.8	231	88	72.413795	27.586206	99.2	55.17241	77.1862	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	-16.8	-5.9000015	-40.97561	-14.390247		-16.829994		-15.992013	76.3501	1356.6201				1.1680912	1.6942148	2.303371		0.6	1.28	1.28	1.28
"Alabama"	"AL"	1900.0	"S"	1.0	0.0	0.0	0.0	32	0	1	92	2	6	"D"	1.0	0.0	0.0	96.969696	0.0	3.030303	92.0	2.0	6.0	1.0	0.0	1.0	0.0	96.969696	90.0	93.48485	63546.39990234375	16699.78564453125	0.75169605	-0.25169605	50.33921	0.35	0.01	51279	36	1828697	1001152	827545	827307	238							216714	1611983	1814105	14592	916764	54.746742	45.240246	0.013014731	45.253258	11.850733	88.14927	99.20206	0.7979452	50.132088	1902.0	1.6E8	88	9141226.0	2624616.0	587606.0	928623.0	741347.0	167176.0	1509462.0	137562.0	79525.0	1164033.0	1201276	153833.0	9200											35.1	87	2476.02																	8.41667	28.46	28.71186	6.428087	8.10993	1.8288138	16.512686	1.5048529	0.8699599	12.733883	13.141301	40.84688	9.144908	14.452153	11.537579	2.601759	23.491747	2.1408765	1.237647	18.115837	18.69545	2.3941019	0.14317954											142.26483	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0		88.41	135.8528	39.366035	7.487653	-3.015152	94.48485		4.9987645	1273.72	1280.27			-17.3	-10.899998					6.515152	49.66079	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1295.3999	-21.099998		-16.410004	1.0	51.6	45.5	198	153	56.410255	43.589745	93.9	87.17949	90.53975	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	-17.3	-10.899998	-49.28775	-31.054127					1280.27	1273.72				1.4504131	1.9719101	2.5071428		0.87	1.35	1.35	1.35
"Alabama"	"AL"	1910.0	"S"	1.0	0.0	0.0	0.0	34	1	0	103	3	0	"D"	1.0	0.0	0.0	97.14286	2.857143	0.0	97.169815	2.8301888	0.0	1.0	0.0	1.0	0.0	94.28572	94.33963	94.312675	43418.0	11102.599975585938	0.77749205	-0.27749205	55.49841	0.35	0.01	51279	42	2138093	1228832	909261	908282	979							370431	1767662	2118807	19286	1074209	57.47327	42.480938	0.045788467	42.52673	17.325298	82.6747	99.097984	0.9020188	50.241455	1913.0			1.7206099E7	2241378.0	2402897.0	1860557.0	1044760.0	433128.0	2203534.0	340050.0	2346282.0	1762022.0	2571491	410340.0												24.2	149	3756.29																	9.5	25.21	13.0266485	13.96538	6.072033	2.5172935	12.806703	1.9763341	13.636339	10.240683	14.94523	26.42782	28.332272	21.937605	12.318641	5.1069603	25.981606	4.009489	27.66473	20.775791	30.320143	4.8382697												202.87506	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0			181.17006	14.581279	27.411535	-2.6873245	97.15634	285.62552	8.047404	15.129883	-6.550049			-10.200001	-6.4000015					5.6873245	44.50159	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1051.6201				2.8436658	51.6	43.0	228	162	58.46154	41.53846	91.4	83.07692	87.238464	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	-10.200001	-6.4000015	-42.14876	-26.446287					-6.550049	15.129883				1.3595507	1.7285715		2.577	1.85	2.31	2.31	2.31
"Alabama"	"AL"	1920.0	"S"	1.0	0.0	0.0	0.0	34	1	0	100	5	1	"D"	1.0	0.0	0.0	97.14286	2.857143	0.0	94.33962	4.716981	0.9433962	1.0	0.0	1.0	0.0	94.28572	89.62264	91.95418	86777.38623046875	37773.85693359375	0.66586876	-0.16586879	33.17375	0.35	0.01	51279	46	2348174	1447032	901142	900652	490							509317	1838857	2330147	18027	1173105	61.623714	38.35542	0.020867279	38.376286	21.689917	78.31008	99.2323	0.7677029	49.95818																											17.8	313	3749.74					32.976116	27.254694	12.321917	8.940459	4.1156197	1.1165807	0.11489705	0.34449083	0.4909891	0.30360293			20.0	11.98																																	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.0						-1.5306702	95.74124			1058.1702	21.679932				-3.7999992					8.045822	66.82625	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5414.9395	-11.599999			3.787062	60.3	34.2	300	132	69.44444	30.555555	73.9	61.111115	67.505554	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0		-3.7999992		-21.34831					21.679932	1058.1702				1.2714285		2.8709676		5.45	6.7100005	6.7100005	6.7100005
"Alabama"	"AL"	1930.0	"S"	1.0	0.0	0.0	0.0	35	0	0	103	3	0	"D"	1.0	0.0	0.0	100.0	0.0	0.0	97.169815	2.8301888	0.0	1.0	0.0	1.0	0.0	100.0	94.33963	97.169815	16540.30078125	8257.5	0.6670068	-0.16700679	33.40136	0.052		51279	52	2646248	1700844	945404	944834	570							744273	1901975	2630187	16061	1315009	64.273796	35.704666	0.021539932	35.726204	28.125595	71.874405	99.39307	0.6069348	49.69334	1932.0			9.0146E7	2.6843E7	4552000.0	5779000.0	1384000.0	2465000.0	6426000.0	1979000.0	1.3149E7	1.0741E7	16828000	1232000.0												14.0	263	3771.42					32.574806	23.339378	14.685992	10.533684	5.022866	1.6437315	0.17124891	0.43412733	0.6086509	0.4409353			16.7	14.34	29.77725	5.0495863	1.5352871	2.734453	7.128436	2.1953275	14.586338	11.915115	18.667496	145.46204	24.667257	31.316362	7.4998865	13.357819	34.822453	10.724188	71.25434	58.205406	91.19082	6.6762												488.50058	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0		72.0	285.62552	119.03422	-3.6650143	2.8571396	98.58491		34.06559	5393.26	1036.4902	-35.2	-10.5	-7.8						2.830185	66.59864	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9115.95	-9.8		-39.6	1.4150944	58.2	40.8	217	217	50.0	50.0	82.6	100.0	91.3	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	-7.8		-55.714287		-35.2	-10.5	-48.88889	-14.583333	1036.4902	5393.26					2.2580645	3.3333335	14.124			14.124	14.124
